OBJECTID,POINAME,POIALTNAME,MAPLABEL,POITYPE,POISTATUS,PUBLICDISPLAY,DATAACCESS,ACCESSNOTES,ORIGINATOR,UNITCODE,UNITNAME,UNITTYPE,GROUPCODE,GROUPNAME,REGIONCODE,CREATEDATE,EDITDATE,POINTTYPE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYACCURACY,GEOMETRYID,FEATUREID,FACLOCID,FACASSETID,IMLOCID,OBSERVABLE,ISEXTANT,OPENTOPUBLIC,ALTLANGNAME,ALTLANG,SEASONAL,SEASDESC,MAINTAINER,NOTES,StagingTable,x,y
196,BPOH TWIN LAKES TOILET NABESNA ROAD (Kendesnii Campground Toilet #1),NA,Kendesnii Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,WRST,Wrangell-St Elias National Park and Preserve,NA,NA,NA,AKR,1439942400000,1515393204000,Center point,Derived,ArcGIS feature to point tool used to generate centroid.,1327622400000,>=50cm and <1m,{D571E4BB-3550-4E23-BA43-063E15E0780B},{F443A7CD-7AE4-4CE5-8785-B6C3F2F670D0},12028,NA,NA,Unknown,True,Unknown,NA,NA,Yes,Winter seasonal closure,NPS,NA,STAGING_AKR_POIS_ALL_20211104014233,-143.25875239938824,62.529817263273515
337,Igloo Creek Campground,NA,Igloo Creek Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,DENA,Denali National Park and Preserve,NA,NA,NA,AKR,1401667200000,1515393219000,Vicinity point,Digitized,Digitized using DENA IKONOS IFSAR Mosaic Dataset (Service) on 12/01/2016. USGS Alaska GNIS database. Exported 08/11/2013. Original source: Unknown. Feature last edited: 6/1/2010.,1374451200000,Scaled,{679A9D53-5161-4C58-B0F1-13685041362A},{679A9D53-5161-4C58-B0F1-13685041362A},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-149.58333318264363,63.609695983000336
344,Sanctuary River Campground,NA,Sanctuary River Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,DENA,Denali National Park and Preserve,NA,NA,NA,AKR,1401667200000,1515393219000,Vicinity point,Digitized,Digitized using DENA IKONOS IFSAR Mosaic Dataset (Service) on 12/01/2016. USGS Alaska GNIS database. Exported 08/11/2013. Original source: Unknown. Feature last edited: 6/1/2010.,1374451200000,Scaled,{801B4F4E-C656-45E9-B691-32F161D95964},{801B4F4E-C656-45E9-B691-32F161D95964},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-149.47372342716895,63.722557218684244
345,Savage River Campground,NA,Savage River Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,DENA,Denali National Park and Preserve,NA,NA,NA,AKR,1401667200000,1515393220000,Vicinity point,Digitized,Digitized using DENA IKONOS IFSAR Mosaic Dataset (Service) on 12/01/2016. USGS Alaska GNIS database. Exported 08/11/2013. Original source: Unknown. Feature last edited: 6/1/2010.,1374451200000,Scaled,{615C9B1B-382F-454F-984E-DC317E8C64C1},{615C9B1B-382F-454F-984E-DC317E8C64C1},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-149.26163033206166,63.71530260075508
348,Teklanika Campground,NA,Teklanika Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,DENA,Denali National Park and Preserve,NA,NA,NA,AKR,1401667200000,1515393220000,Vicinity point,Digitized,Digitized using DENA IKONOS IFSAR Mosaic Dataset (Service) on 12/01/2016. USGS Alaska GNIS database. Exported 08/11/2013. Original source: Unknown. Feature last edited: 6/1/2010.,1374451200000,Scaled,{421ADE3E-D5B3-441A-8A79-08ACF1C13B3F},{421ADE3E-D5B3-441A-8A79-08ACF1C13B3F},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-149.58094882602356,63.670496822311634
382,Brooks Camp Campground,NA,Brooks Camp Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,KATM,Katmai National Park and Preserve,NA,NA,NA,AKR,1401926400000,1515393223000,Vicinity point,Unknown,Katmai Base database. Exported 06/05/2014. Original source: Unknown. Feature last edited: Unknown.,1401926400000,Unknown,{D6325FBA-83F3-4F39-94F2-C213F7D9F0E7},{D6325FBA-83F3-4F39-94F2-C213F7D9F0E7},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-155.77751363829813,58.55978540182343
420,"Dyea Campground, National Park Service",NA,Dyea Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,KLGO,Klondike Gold Rush National Historical Park,NA,NA,NA,AKR,1406730830000,1515393229000,Vicinity point,Digitized,KLGO Source: \\165.83.48.131\KLGO-GIS\locdata\data\crdata Shapefile,NA,Unknown,{EF04AE31-C914-46DC-A18F-6DB675DBD41C},{EF04AE31-C914-46DC-A18F-6DB675DBD41C},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-135.3504763020863,59.50724585757831
422,Canyon City Campground,NA,Canyon City Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,KLGO,Klondike Gold Rush National Historical Park,NA,NA,NA,AKR,1406738452000,1515393229000,Center point,GNSS: Mapping Grade,KLGO Source: \\165.83.48.131\KLGO-GIS\locdata\Data\CHILKOOT_Data_CLR,1239840000000,Unknown,{DCCE539F-74EA-4639-9C6B-9E9C86972AD8},{DCCE539F-74EA-4639-9C6B-9E9C86972AD8},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-135.32464587553574,59.60755834373589
423,Pleasant Camp Campground,NA,Pleasant Camp Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,KLGO,Klondike Gold Rush National Historical Park,NA,NA,NA,AKR,1406738452000,1515393230000,Center point,GNSS: Mapping Grade,KLGO Source: \\165.83.48.131\KLGO-GIS\locdata\Data\CHILKOOT_Data_CLR,1239840000000,Unknown,{8A5F80F8-AE38-4BB2-8DA6-E2ACD24812A0},{8A5F80F8-AE38-4BB2-8DA6-E2ACD24812A0},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-135.29368500049924,59.63851799977152
424,Sheep Camp Campground,NA,Sheep Camp Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,KLGO,Klondike Gold Rush National Historical Park,NA,NA,NA,AKR,1406738452000,1515393230000,Center point,GNSS: Mapping Grade,KLGO Source: \\165.83.48.131\KLGO-GIS\locdata\Data\CHILKOOT_Data_CLR,1239840000000,Unknown,{2BAF1418-B2C0-4688-83ED-55885A7ECE45},{2BAF1418-B2C0-4688-83ED-55885A7ECE45},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-135.26783799993746,59.659066999733625
427,Finnegan's Point Campground,NA,Finnegan's Point Campground,Campground,NA,Public Map Display,Unrestricted,NA,NA,KLGO,Klondike Gold Rush National Historical Park,NA,NA,NA,AKR,1412031832000,1515393230000,Vicinity point,GNSS: Mapping Grade,KLGO Source: \\165.83.48.131\KLGO-GIS\locdata\Data\CHILKOOT_Data_CLR,NA,Unknown,{445B6E1C-07A1-46C2-BE5B-8D0A6091CD53},{445B6E1C-07A1-46C2-BE5B-8D0A6091CD53},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,NA,STAGING_AKR_POIS_ALL_20211104014233,-135.33485600147299,59.575418999898716
446,Dry Creek State Recreation Site,NA,Dry Creek State Recreation Site,Campground,NA,Public Map Display,Unrestricted,NA,NA,WRST,Wrangell-St Elias National Park and Preserve,NA,NA,NA,AKR,1412640000000,1515393232000,Vicinity point,Digitized,DNR website. http://dnr.alaska.gov/parks/aspunits/matsu/drycreeksrs.htm,NA,Unknown,{EC7B9C82-FD68-43C8-B228-8F95E66E0283},{EC7B9C82-FD68-43C8-B228-8F95E66E0283},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,Head's up digitized from description of intended location,STAGING_AKR_POIS_ALL_20211104014233,-145.47215424029073,62.15266923301914
447,Porcupine Creek State Recreation Site,NA,Porcupine Creek State Recreation Site,Campground,NA,Public Map Display,Unrestricted,NA,NA,WRST,Wrangell-St Elias National Park and Preserve,NA,NA,NA,AKR,1412640000000,1515393232000,Vicinity point,Digitized,DNR website. http://dnr.alaska.gov/parks/aspunits/matsu/porchsrs.htm,NA,Unknown,{ED3C8A3D-F2D8-4FF0-8F87-1136AA432433},{ED3C8A3D-F2D8-4FF0-8F87-1136AA432433},NA,NA,NA,Unknown,True,Unknown,NA,NA,No,NA,Unknown,Head's up digitized from description of intended location,STAGING_AKR_POIS_ALL_20211104014233,-143.87364834218113,62.72262460627701
